Symbol,pred_prob,predicted_class,confidence,position,Signal,position_size,price,market_return,strategy_return,sized_strategy_return,cumulative_market_return,cumulative_strategy_return,drawdown
AAPL,0.47697598,0,0.523024,0,Hold,0.0,216.5517425537109,0.0021702747721322,0.0,0.0,0.0017119244850305,0.0450467891645725,-0.0004661627302855
AAPL,0.5273863,0,0.5273863,0,Hold,0.0,220.4474639892578,0.0178298934299153,0.0,0.0,0.0197325165635788,0.0450467891645725,-0.0004661627302855
AAPL,0.60130376,1,0.60130376,1,Buy,0.20260751247406,228.61846923828125,0.0363951329688205,0.0,0.0,0.0575294573614413,0.0450467891645725,-0.0004661627302855
AAPL,0.6527751,1,0.6527751,1,Buy,0.305550217628479,227.9492034912109,-0.0029317284880577,-0.0029317284880577,-0.0005939902162147,0.0544336084359888,0.0444262259188164,-0.0010867259760416
AAPL,0.69047254,1,0.69047254,1,Buy,0.380945086479187,226.2211151123047,-0.0076099060095984,-0.0076099060095984,-0.002325208437365,0.0464399219604114,0.0420005384534771,-0.0035124134413808
AAPL,0.6976148,1,0.6976148,1,Buy,0.3952295780181885,227.1201171875,0.0039661217184475,0.0039661217184475,0.0015108745810209,0.0505984712671045,0.0435760604888249,-0.0019368914060331
AAPL,0.7219418,1,0.7219418,1,Buy,0.4438836574554443,226.1212158203125,-0.0044078194627659,-0.0044078194627659,-0.0017421006262493,0.0459778138708801,0.0417596286432293,-0.0037533232516286
AAPL,0.69666207,1,0.69666207,1,Buy,0.3933241367340088,227.2699584960937,0.0050673466929755,0.0050673466929755,0.0022493123836727,0.0512915981098107,0.0441055087963231,-0.0014074430985349
AAPL,0.6871784,1,0.6871784,1,Buy,0.374356746673584,227.53965759277344,0.0011859869217867,0.0011859869217867,0.0004664772821896,0.0525391558435004,0.0445926739132815,-0.0009202779815764
AAPL,0.6529758,1,0.6529758,1,Buy,0.3059515953063965,232.7439422607422,0.022614346723468,0.022614346723468,0.0084658332675459,0.076612820404412,0.0534735603337057,0.0
AAPL,0.6330392,1,0.6330392,1,Buy,0.2660783529281616,225.9614105224609,-0.0295746542195337,-0.0295746542195337,-0.0090484126391013,0.0452385962106289,0.043984293002073,-0.0094892673316326
AAPL,0.591736,0,0.591736,0,Hold,0.0,226.53077697753903,0.0025165815954331,0.0025165815954331,0.0006696078859221,0.0478723370465496,0.0446835872177779,-0.0087899731159277
AAPL,0.56172454,0,0.56172454,0,Hold,0.0,225.42198181152344,-0.0049066959722398,-0.0,-0.0,0.0427433395768863,0.0446835872177779,-0.0087899731159277
AAPL,0.5326899,0,0.5326899,0,Hold,0.0,226.55075073242188,0.0049948644526311,0.0,0.0,0.0479647304311834,0.0446835872177779,-0.0087899731159277
AAPL,0.49425414,0,0.5057459,0,Hold,0.0,221.4463653564453,-0.0227885675644885,-0.0,-0.0,0.0243531739598032,0.0446835872177779,-0.0087899731159277
AAPL,0.46252164,0,0.5374783,0,Hold,0.0,225.5218811035156,0.0182367706501565,0.0,0.0,0.0432054476664176,0.0446835872177779,-0.0087899731159277
AAPL,0.45231614,0,0.54768384,0,Hold,0.0,229.2877349853516,0.0165605115364545,0.0,0.0,0.0606253062868937,0.0446835872177779,-0.0087899731159277
AAPL,0.4487941,0,0.5512059,0,Hold,0.0,228.7882843017578,-0.0021806462704048,-0.0,-0.0,0.0583149775887812,0.0446835872177779,-0.0087899731159277
AAPL,0.44270873,0,0.55729127,0,Hold,0.0,227.2999267578125,-0.0065266445883007,-0.0,-0.0,0.0514302234783521,0.0446835872177779,-0.0087899731159277
AAPL,0.44060233,0,0.5593977,0,Hold,0.0,231.0458068847656,0.0163455804342644,0.0,0.0,0.068757688714194,0.0446835872177779,-0.0087899731159277
AAPL,0.43738237,0,0.56261766,0,Hold,0.0,233.593002319336,0.0109643056148745,0.0,0.0,0.0805403509579305,0.0446835872177779,-0.0087899731159277
AAPL,0.4409565,0,0.5590435,0,Hold,0.0,231.5252685546875,-0.0088912756867852,-0.0,-0.0,0.0709755534444911,0.0446835872177779,-0.0087899731159277
AAPL,0.43987697,0,0.560123,0,Hold,0.0,231.89486694335932,0.00159509023767,0.0,0.0,0.0726852192677123,0.0446835872177779,-0.0087899731159277
AAPL,0.44423592,0,0.5557641,0,Hold,0.0,234.74172973632807,0.0122017781460771,0.0,0.0,0.0858540646136796,0.0446835872177779,-0.0087899731159277
AAPL,0.44476515,0,0.55523485,0,Hold,0.0,236.22010803222656,0.0062781441433483,0.0,0.0,0.092692657323383,0.0446835872177779,-0.0087899731159277
AAPL,0.4495171,0,0.55048287,0,Hold,0.0,235.60079956054688,-0.0026251860287764,-0.0,-0.0,0.0898278977342872,0.0446835872177779,-0.0087899731159277
AAPL,0.45017478,0,0.5498252,0,Hold,0.0,230.5063934326172,-0.0218602462053455,-0.0,-0.0,0.0662625026636332,0.0446835872177779,-0.0087899731159277
AAPL,0.4541436,0,0.54585636,0,Hold,0.0,230.31661987304688,-0.0008236288762445,-0.0,-0.0,0.065384659634841,0.0446835872177779,-0.0087899731159277
AAPL,0.45519134,0,0.5448086,0,Hold,0.0,231.1556854248047,0.0036364759781774,0.0,0.0,0.0692659582044519,0.0446835872177779,-0.0087899731159277
AAPL,0.45994666,0,0.54005337,0,Hold,0.0,233.1434936523437,0.0085626702027388,0.0,0.0,0.0784610410129933,0.0446835872177779,-0.0087899731159277
AAPL,0.46355897,0,0.536441,0,Hold,0.0,233.41319274902344,0.0011561258667218,0.0,0.0,0.0797085987466834,0.0446835872177779,-0.0087899731159277
AAPL,0.46838707,0,0.53161293,0,Hold,0.0,229.8471221923828,-0.0153958406568433,-0.0,-0.0,0.0632128857220888,0.0446835872177779,-0.0087899731159277
AAPL,0.47194403,0,0.52805597,0,Hold,0.0,225.66172790527344,-0.0183773030022672,-0.0,-0.0,0.043852342525217,0.0446835872177779,-0.0087899731159277
AAPL,0.47410992,0,0.5258901,0,Hold,0.0,222.6650238037109,-0.0133685920848269,-0.0,-0.0,0.0299903703365431,0.0446835872177779,-0.0087899731159277
AAPL,0.49187854,0,0.5081215,0,Hold,0.0,221.76600646972656,-0.0040457056280278,-0.0,-0.0,0.0258317504466687,0.0446835872177779,-0.0087899731159277
AAPL,0.51170033,0,0.51170033,0,Hold,0.0,223.2044219970703,0.0064652410394926,0.0,0.0,0.0324854858039229,0.0446835872177779,-0.0087899731159277
AAPL,0.56527114,0,0.56527114,0,Hold,0.0,222.4752349853516,-0.0032722501507499,-0.0,-0.0,0.0291124567245697,0.0446835872177779,-0.0087899731159277
AAPL,0.58612454,0,0.58612454,0,Hold,0.0,227.22999572753903,0.0211469096063574,0.0,0.0,0.0511067407573624,0.0446835872177779,-0.0087899731159277
AAPL,0.63360596,1,0.63360596,1,Buy,0.2672119140625,226.9600067138672,-0.0011888814990275,-0.0,-0.0,0.0498578419432234,0.0446835872177779,-0.0087899731159277
AAPL,0.6412213,1,0.6412213,1,Buy,0.282442569732666,224.22999572753903,-0.0121015283507985,-0.0121015283507985,-0.0032336725536984,0.0372295226014764,0.0413108786310192,-0.0121626817026865
AAPL,0.6746866,1,0.6746866,1,Buy,0.3493732213973999,224.22999572753903,0.0,0.0,0.0,0.0372295226014764,0.0413108786310192,-0.0121626817026865
AAPL,0.6734686,1,0.6734686,1,Buy,0.3469371795654297,225.1199951171875,0.0039612799447406,0.0039612799447406,0.0013839651351509,0.041346427831062,0.0427530142844461,-0.0107205460492596
AAPL,0.6983812,1,0.6983812,1,Buy,0.3967623710632324,228.22000122070312,0.0136765096790758,0.0136765096790758,0.0047448896943578,0.0556862481587501,0.0477125191626326,-0.0057610411710731
AAPL,0.6881062,1,0.6881062,1,Buy,0.3762123584747314,225.0,-0.0142096791509133,-0.0142096791509133,-0.0056378659919641,0.0407913616914445,0.0418222761838122,-0.0116512841498934
AAPL,0.69400847,1,0.69400847,1,Buy,0.388016939163208,228.0200042724609,0.0133329609383733,0.0133329609383733,0.0050160246800768,0.054761114398327,0.0470612107614587,-0.006412349572247
AAPL,0.68439525,1,0.68439525,1,Buy,0.3687905073165893,228.27999877929688,0.0011395771783196,0.0011395771783196,0.0004421752486718,0.0559637812285587,0.047524297687945,-0.0059492626457606
AAPL,0.6815578,1,0.6815578,1,Buy,0.3631155490875244,229.0,0.0031490632331264,0.0031490632331264,0.0011613446273167,0.0592943192326258,0.0487415410857787,-0.0047320192479269
AAPL,0.6664435,1,0.6664435,1,Buy,0.332887053489685,228.5200042724609,-0.0020982510017549,-0.0020982510017549,-0.0007619075646256,0.0570739840909748,0.0479428012938722,-0.0055307590398334
AAPL,0.63780737,1,0.63780737,1,Buy,0.2756147384643554,229.8699951171875,0.0058901579422149,0.0058901579422149,0.0019607573219727,0.0633186899112145,0.049999578576124,-0.0034739817575817
AAPL,0.60365856,1,0.60365856,1,Buy,0.2073171138763427,232.8699951171875,0.0129664264824687,0.0129664264824687,0.0035737382437829,0.0771959080671007,0.0537587153105432,0.0
AAPL,0.5538477,0,0.5538477,0,Hold,0.0,235.0599975585937,0.0093604533412285,0.0093604533412285,0.0019405821712776,0.0873262886142063,0.0558056061238543,0.0
